Accident Date,Accident Type
6/1/15,Collision with vehicle
6/1/15,Collision with a fixed object
6/1/15,Collision with a fixed object
6/1/15,Collision with vehicle
6/1/15,Struck Pedestrian
6/1/15,Collision with vehicle
6/1/15,Collision with vehicle
6/1/15,Collision with vehicle
6/1/15,Struck Pedestrian
6/1/15,Collision with vehicle
6/1/15,Collision with vehicle
6/1/15,Collision with vehicle
7/1/15,Collision with some other object
7/1/15,Collision with vehicle
7/1/15,Collision with vehicle
7/1/15,Collision with vehicle
7/1/15,Collision with vehicle
7/1/15,Collision with vehicle
7/1/15,Collision with vehicle
7/1/15,Collision with vehicle
7/1/15,Collision with vehicle
7/1/15,Collision with a fixed object
7/1/15,Collision with vehicle
7/1/15,Struck Pedestrian
7/1/15,Collision with vehicle
7/1/15,Collision with vehicle
7/1/15,Collision with some other object
7/1/15,Collision with vehicle
7/1/15,Struck Pedestrian
7/1/15,Collision with vehicle
7/1/15,Collision with a fixed object
7/1/15,Struck Pedestrian
7/1/15,Collision with vehicle
7/1/15,Collision with vehicle
7/1/15,Collision with vehicle
7/1/15,Collision with vehicle
7/1/15,Collision with vehicle
7/1/15,Struck Pedestrian
7/1/15,Collision with vehicle
7/1/15,Collision with vehicle
7/1/15,Collision with vehicle
7/1/15,Collision with a fixed object
7/1/15,Collision with a fixed object
7/1/15,Collision with a fixed object
7/1/15,Collision with vehicle
7/1/15,Collision with vehicle
7/1/15,Collision with vehicle
8/1/15,Collision with vehicle
8/1/15,Collision with vehicle
8/1/15,Collision with vehicle
8/1/15,Collision with vehicle
8/1/15,Collision with vehicle
8/1/15,Struck Pedestrian
8/1/15,Collision with vehicle
8/1/15,Struck Pedestrian
8/1/15,Collision with a fixed object
8/1/15,Collision with vehicle
8/1/15,Collision with vehicle
8/1/15,Collision with vehicle
8/1/15,Collision with vehicle
8/1/15,Collision with vehicle
8/1/15,Collision with vehicle
8/1/15,Struck Pedestrian
8/1/15,Collision with vehicle
8/1/15,Collision with vehicle
8/1/15,Collision with vehicle
8/1/15,Collision with vehicle
8/1/15,Collision with vehicle
8/1/15,Collision with vehicle
8/1/15,Collision with vehicle
8/1/15,Struck Pedestrian
8/1/15,Collision with vehicle
8/1/15,Collision with a fixed object
8/1/15,Collision with vehicle
8/1/15,Collision with vehicle
8/1/15,Collision with vehicle
8/1/15,Collision with vehicle
8/1/15,Collision with vehicle
8/1/15,Struck Pedestrian
8/1/15,Collision with vehicle
8/1/15,Collision with vehicle
8/1/15,Collision with vehicle
8/1/15,Collision with vehicle
8/1/15,Collision with a fixed object
9/1/15,Collision with vehicle
9/1/15,Collision with a fixed object
9/1/15,Collision with a fixed object
9/1/15,Collision with vehicle
9/1/15,Collision with a fixed object
9/1/15,Struck Pedestrian
9/1/15,Collision with vehicle
9/1/15,Collision with vehicle
9/1/15,Collision with vehicle
9/1/15,Collision with a fixed object
9/1/15,Collision with a fixed object
9/1/15,Collision with vehicle
9/1/15,Collision with vehicle
9/1/15,Collision with vehicle
9/1/15,Struck Pedestrian
9/1/15,Collision with vehicle
9/1/15,Collision with a fixed object
9/1/15,Collision with vehicle
9/1/15,Collision with a fixed object
9/1/15,Collision with vehicle
9/1/15,Collision with vehicle
9/1/15,Collision with vehicle
9/1/15,Collision with vehicle
9/1/15,Collision with vehicle
9/1/15,Collision with vehicle
9/1/15,Collision with vehicle
9/1/15,Collision with vehicle
9/1/15,Collision with a fixed object
9/1/15,Struck Pedestrian
9/1/15,Collision with vehicle
9/1/15,Collision with a fixed object
9/1/15,Collision with vehicle
9/1/15,Collision with vehicle
9/1/15,Collision with a fixed object
9/1/15,Collision with vehicle
9/1/15,Collision with vehicle
9/1/15,Collision with vehicle
9/1/15,Collision with vehicle
9/1/15,Collision with vehicle
9/1/15,Struck Pedestrian
9/1/15,Collision with vehicle
9/1/15,Collision with vehicle
9/1/15,Collision with vehicle
9/1/15,Collision with a fixed object
10/1/15,Collision with vehicle
10/1/15,Collision with vehicle
10/1/15,Collision with a fixed object
10/1/15,Collision with vehicle
10/1/15,Collision with a fixed object
10/1/15,Struck Pedestrian
10/1/15,Collision with a fixed object
10/1/15,Collision with a fixed object
10/1/15,Collision with vehicle
10/1/15,Collision with a fixed object
10/1/15,Struck Pedestrian
10/1/15,Collision with a fixed object
10/1/15,Collision with a fixed object
10/1/15,Collision with a fixed object
10/1/15,Collision with vehicle
10/1/15,Collision with vehicle
10/1/15,Collision with vehicle
10/1/15,Collision with vehicle
10/1/15,Collision with vehicle
10/1/15,Collision with a fixed object
10/1/15,Collision with a fixed object
10/1/15,Collision with a fixed object
10/1/15,Struck animal
10/1/15,Collision with a fixed object
10/1/15,Collision with vehicle
10/1/15,Collision with a fixed object
10/1/15,Collision with a fixed object
10/1/15,Collision with vehicle
10/1/15,Collision with vehicle
10/1/15,Collision with vehicle
11/1/15,Collision with vehicle
11/1/15,Struck Pedestrian
11/1/15,Struck Pedestrian
11/1/15,Collision with a fixed object
11/1/15,Collision with a fixed object
11/1/15,Collision with a fixed object
11/1/15,Collision with vehicle
11/1/15,Collision with vehicle
11/1/15,Collision with vehicle
11/1/15,Collision with vehicle
11/1/15,Collision with a fixed object
11/1/15,Collision with vehicle
11/1/15,Collision with a fixed object
11/1/15,Struck Pedestrian
11/1/15,Collision with a fixed object
11/1/15,Collision with vehicle
11/1/15,Collision with a fixed object
11/1/15,Collision with vehicle
11/1/15,Collision with vehicle
11/1/15,Collision with a fixed object
11/1/15,Collision with vehicle
11/1/15,Collision with vehicle
11/1/15,Collision with vehicle
12/1/15,Collision with vehicle
12/1/15,Collision with vehicle
12/1/15,Collision with vehicle
12/1/15,Collision with a fixed object
12/1/15,Collision with vehicle
12/1/15,Collision with vehicle
12/1/15,Collision with a fixed object
12/1/15,Collision with vehicle
12/1/15,Collision with vehicle
12/1/15,Collision with vehicle
12/1/15,Collision with vehicle
12/1/15,Collision with vehicle
12/1/15,Collision with vehicle
12/1/15,Collision with vehicle
12/1/15,Collision with vehicle
12/1/15,Collision with vehicle
12/1/15,Collision with vehicle
12/1/15,Collision with vehicle
12/1/15,Collision with a fixed object
12/1/15,Collision with a fixed object
12/1/15,Struck animal
12/1/15,Collision with vehicle
12/1/15,Collision with vehicle
12/1/15,Collision with vehicle
12/1/15,Collision with vehicle
12/1/15,Collision with vehicle
12/1/15,Collision with vehicle
12/1/15,Struck Pedestrian
12/1/15,Collision with vehicle
12/1/15,Collision with vehicle
12/1/15,Collision with vehicle
12/1/15,Collision with vehicle
12/1/15,Collision with vehicle
12/1/15,Collision with vehicle
12/1/15,Collision with a fixed object
12/1/15,Collision with vehicle
12/1/15,Collision with vehicle
12/1/15,Struck Pedestrian
12/1/15,Collision with vehicle
12/1/15,Collision with vehicle
12/1/15,Collision with vehicle
12/1/15,Collision with vehicle
12/1/15,Collision with vehicle
12/1/15,Collision with vehicle
12/1/15,Collision with vehicle
12/1/15,Collision with vehicle
12/1/15,Collision with vehicle
13/1/15,Struck Pedestrian
13/1/15,Collision with a fixed object
13/1/15,Collision with vehicle
13/1/15,Collision with vehicle
13/1/15,Struck Pedestrian
13/1/15,Collision with vehicle
13/1/15,Collision with a fixed object
13/1/15,Collision with vehicle
13/1/15,Collision with vehicle
13/1/15,Collision with vehicle
13/1/15,Collision with a fixed object
13/1/15,Collision with a fixed object
13/1/15,Collision with vehicle
13/1/15,Collision with vehicle
13/1/15,Collision with vehicle
13/1/15,Collision with vehicle
13/1/15,Collision with a fixed object
13/1/15,Collision with a fixed object
13/1/15,Collision with a fixed object
13/1/15,Collision with vehicle
13/1/15,Collision with vehicle
13/1/15,Collision with a fixed object
13/1/15,Collision with vehicle
13/1/15,Struck Pedestrian
13/1/15,Struck animal
13/1/15,Collision with vehicle
13/1/15,Collision with vehicle
13/1/15,Collision with vehicle
13/1/15,Collision with vehicle
13/1/15,Struck Pedestrian
13/1/15,Collision with a fixed object
13/1/15,Collision with vehicle
13/1/15,Collision with vehicle
13/1/15,Collision with vehicle
13/1/15,Collision with vehicle
13/1/15,Collision with vehicle
13/1/15,Collision with vehicle
13/1/15,Collision with a fixed object
13/1/15,Collision with vehicle
13/1/15,Collision with vehicle
13/1/15,Struck Pedestrian
13/1/15,Collision with vehicle
13/1/15,Collision with vehicle
13/1/15,Collision with vehicle
13/1/15,Collision with vehicle
14/1/15,Collision with vehicle
14/1/15,Collision with a fixed object
14/1/15,Collision with vehicle
14/1/15,Collision with some other object
14/1/15,Collision with a fixed object
14/1/15,Collision with vehicle
14/1/15,Collision with a fixed object
14/1/15,Collision with vehicle
14/1/15,Collision with vehicle
14/1/15,Collision with vehicle
14/1/15,Collision with a fixed object
14/1/15,Collision with vehicle
14/1/15,Collision with vehicle
14/1/15,Collision with vehicle
14/1/15,Collision with vehicle
14/1/15,Collision with vehicle
14/1/15,Collision with vehicle
14/1/15,Collision with vehicle
14/1/15,Collision with vehicle
14/1/15,Collision with vehicle
14/1/15,Collision with vehicle
14/1/15,Collision with vehicle
14/1/15,Collision with vehicle
14/1/15,Struck Pedestrian
14/1/15,Collision with vehicle
15/1/15,Collision with vehicle
15/1/15,Collision with a fixed object
15/1/15,Collision with vehicle
15/1/15,Collision with vehicle
15/1/15,Collision with vehicle
15/1/15,Collision with vehicle
15/1/15,Collision with vehicle
15/1/15,Collision with vehicle
15/1/15,Collision with vehicle
15/1/15,Collision with vehicle
15/1/15,Collision with a fixed object
15/1/15,Collision with a fixed object
15/1/15,Collision with vehicle
15/1/15,Collision with vehicle
15/1/15,Collision with vehicle
15/1/15,Collision with vehicle
15/1/15,Collision with a fixed object
15/1/15,Collision with vehicle
15/1/15,Collision with vehicle
15/1/15,Collision with vehicle
15/1/15,Collision with vehicle
15/1/15,Collision with vehicle
15/1/15,Struck Pedestrian
15/1/15,Collision with vehicle
15/1/15,Collision with a fixed object
15/1/15,Collision with vehicle
15/1/15,Collision with a fixed object
15/1/15,Collision with vehicle
15/1/15,Struck Pedestrian
15/1/15,Collision with vehicle
15/1/15,Collision with vehicle
15/1/15,Collision with vehicle
15/1/15,Collision with vehicle
16/1/15,Collision with vehicle
16/1/15,Collision with vehicle
16/1/15,Collision with vehicle
16/1/15,Collision with a fixed object
16/1/15,Collision with vehicle
16/1/15,Collision with vehicle
16/1/15,Collision with vehicle
16/1/15,Collision with vehicle
16/1/15,Collision with vehicle
16/1/15,Struck Pedestrian
16/1/15,Struck Pedestrian
16/1/15,Fall from or in moving vehicle
16/1/15,Collision with a fixed object
16/1/15,Collision with vehicle
16/1/15,Collision with vehicle
16/1/15,Collision with vehicle
16/1/15,Struck Pedestrian
16/1/15,Collision with vehicle
16/1/15,Collision with vehicle
16/1/15,Collision with vehicle
16/1/15,Collision with vehicle
16/1/15,Collision with vehicle
16/1/15,Collision with a fixed object
16/1/15,Collision with a fixed object
16/1/15,Collision with vehicle
16/1/15,Collision with vehicle
16/1/15,Struck animal
16/1/15,Collision with vehicle
16/1/15,Collision with vehicle
16/1/15,Collision with vehicle
17/1/15,Collision with some other object
17/1/15,Collision with vehicle
17/1/15,Collision with vehicle
17/1/15,Collision with vehicle
17/1/15,Collision with vehicle
17/1/15,Collision with vehicle
17/1/15,Collision with vehicle
17/1/15,Collision with vehicle
17/1/15,Collision with vehicle
17/1/15,Collision with vehicle
17/1/15,Collision with vehicle
17/1/15,Collision with vehicle
17/1/15,Collision with vehicle
17/1/15,Struck Pedestrian
17/1/15,Collision with a fixed object
17/1/15,Collision with a fixed object
17/1/15,Collision with vehicle
17/1/15,Fall from or in moving vehicle
17/1/15,Collision with some other object
17/1/15,Collision with a fixed object
17/1/15,Collision with vehicle
17/1/15,Collision with vehicle
17/1/15,Collision with vehicle
17/1/15,Collision with vehicle
18/1/15,Collision with a fixed object
18/1/15,Collision with vehicle
18/1/15,Collision with a fixed object
18/1/15,Fall from or in moving vehicle
18/1/15,Collision with a fixed object
18/1/15,Collision with vehicle
18/1/15,Collision with a fixed object
18/1/15,Collision with vehicle
18/1/15,Collision with vehicle
18/1/15,Collision with vehicle
18/1/15,Collision with vehicle
18/1/15,Collision with a fixed object
18/1/15,Struck Pedestrian
18/1/15,Collision with vehicle
18/1/15,Struck Pedestrian
18/1/15,Collision with a fixed object
18/1/15,Collision with a fixed object
18/1/15,Struck Pedestrian
18/1/15,Collision with vehicle
18/1/15,Collision with vehicle
19/1/15,Collision with vehicle
19/1/15,Collision with vehicle
19/1/15,Collision with vehicle
19/1/15,Collision with vehicle
19/1/15,Collision with a fixed object
19/1/15,Collision with vehicle
19/1/15,Collision with vehicle
19/1/15,Collision with a fixed object
19/1/15,Collision with vehicle
19/1/15,Collision with vehicle
19/1/15,Collision with a fixed object
19/1/15,Collision with vehicle
19/1/15,Collision with some other object
19/1/15,Collision with a fixed object
19/1/15,Collision with vehicle
19/1/15,Collision with vehicle
19/1/15,Collision with vehicle
19/1/15,Collision with a fixed object
19/1/15,Collision with vehicle
19/1/15,Collision with vehicle
19/1/15,Collision with a fixed object
19/1/15,Collision with vehicle
19/1/15,Collision with vehicle
19/1/15,Collision with vehicle
19/1/15,Collision with vehicle
19/1/15,Collision with vehicle
19/1/15,Collision with vehicle
19/1/15,Collision with a fixed object
19/1/15,Collision with vehicle
19/1/15,Collision with vehicle
19/1/15,Collision with vehicle
20/1/15,Collision with some other object
20/1/15,Collision with vehicle
20/1/15,Collision with vehicle
20/1/15,Collision with vehicle
20/1/15,Collision with vehicle
20/1/15,Collision with vehicle
20/1/15,Struck Pedestrian
20/1/15,Collision with vehicle
20/1/15,Struck Pedestrian
20/1/15,Collision with vehicle
20/1/15,Collision with vehicle
20/1/15,Collision with vehicle
20/1/15,Collision with vehicle
20/1/15,Collision with vehicle
20/1/15,Collision with a fixed object
20/1/15,Collision with vehicle
20/1/15,Collision with vehicle
20/1/15,Collision with vehicle
20/1/15,Collision with vehicle
20/1/15,Collision with vehicle
20/1/15,Collision with vehicle
20/1/15,Collision with vehicle
20/1/15,Collision with vehicle
20/1/15,Collision with vehicle
20/1/15,Collision with a fixed object
20/1/15,Collision with vehicle
20/1/15,Collision with vehicle
20/1/15,Collision with a fixed object
20/1/15,Struck Pedestrian
20/1/15,Collision with vehicle
20/1/15,Collision with vehicle
20/1/15,Fall from or in moving vehicle
20/1/15,Collision with a fixed object
20/1/15,Collision with vehicle
21/1/15,Collision with vehicle
21/1/15,Collision with vehicle
21/1/15,Collision with some other object
21/1/15,Collision with vehicle
21/1/15,Collision with vehicle
21/1/15,Collision with a fixed object
21/1/15,Collision with a fixed object
21/1/15,Collision with vehicle
21/1/15,Collision with vehicle
21/1/15,Collision with vehicle
21/1/15,Collision with vehicle
21/1/15,Collision with a fixed object
21/1/15,Collision with vehicle
21/1/15,Collision with a fixed object
21/1/15,Collision with a fixed object
21/1/15,Struck Pedestrian
21/1/15,Collision with vehicle
21/1/15,Collision with vehicle
21/1/15,Collision with a fixed object
21/1/15,Collision with vehicle
21/1/15,Collision with a fixed object
21/1/15,Collision with vehicle
21/1/15,Collision with vehicle
21/1/15,Collision with a fixed object
21/1/15,Collision with vehicle
21/1/15,Collision with vehicle
21/1/15,Collision with a fixed object
21/1/15,Collision with vehicle
21/1/15,Collision with vehicle
21/1/15,Collision with vehicle
21/1/15,Collision with vehicle
22/1/15,Collision with vehicle
22/1/15,Collision with vehicle
22/1/15,Collision with vehicle
22/1/15,Collision with vehicle
22/1/15,Collision with a fixed object
22/1/15,Collision with vehicle
22/1/15,Collision with a fixed object
22/1/15,Collision with vehicle
22/1/15,Struck animal
22/1/15,Collision with vehicle
22/1/15,Collision with vehicle
22/1/15,Collision with vehicle
22/1/15,Collision with vehicle
22/1/15,Collision with vehicle
22/1/15,Struck Pedestrian
22/1/15,Collision with vehicle
22/1/15,Collision with vehicle
22/1/15,Struck Pedestrian
22/1/15,Collision with a fixed object
22/1/15,Collision with vehicle
22/1/15,Collision with vehicle
22/1/15,Collision with vehicle
22/1/15,Struck Pedestrian
22/1/15,Struck Pedestrian
22/1/15,Collision with a fixed object
22/1/15,Collision with vehicle
22/1/15,Collision with vehicle
22/1/15,Collision with vehicle
22/1/15,Collision with vehicle
22/1/15,Collision with vehicle
22/1/15,Collision with vehicle
22/1/15,Struck Pedestrian
22/1/15,Collision with vehicle
22/1/15,Collision with vehicle
22/1/15,Collision with vehicle
22/1/15,Collision with vehicle
23/1/15,Collision with vehicle
23/1/15,Collision with vehicle
23/1/15,Collision with vehicle
23/1/15,Collision with vehicle
23/1/15,Collision with vehicle
23/1/15,Struck Pedestrian
23/1/15,Collision with vehicle
23/1/15,Collision with a fixed object
23/1/15,Collision with vehicle
23/1/15,Collision with vehicle
23/1/15,Struck Pedestrian
23/1/15,Collision with a fixed object
23/1/15,Collision with vehicle
23/1/15,Collision with vehicle
23/1/15,Collision with vehicle
23/1/15,Struck Pedestrian
23/1/15,Collision with a fixed object
23/1/15,Collision with vehicle
23/1/15,Collision with vehicle
23/1/15,Collision with some other object
23/1/15,Collision with vehicle
23/1/15,Collision with vehicle
23/1/15,Collision with vehicle
23/1/15,Collision with vehicle
23/1/15,Collision with a fixed object
23/1/15,Collision with vehicle
23/1/15,Collision with a fixed object
23/1/15,Collision with vehicle
23/1/15,Struck Pedestrian
23/1/15,Collision with vehicle
23/1/15,Collision with a fixed object
23/1/15,Collision with a fixed object
23/1/15,Collision with vehicle
23/1/15,Collision with vehicle
23/1/15,Collision with vehicle
23/1/15,Collision with vehicle
23/1/15,Collision with vehicle
24/1/15,Collision with vehicle
24/1/15,Collision with vehicle
24/1/15,Collision with a fixed object
24/1/15,Collision with vehicle
24/1/15,Collision with a fixed object
24/1/15,Collision with a fixed object
24/1/15,Collision with vehicle
24/1/15,Collision with vehicle
24/1/15,Collision with vehicle
24/1/15,Collision with a fixed object
24/1/15,Collision with a fixed object
24/1/15,Collision with vehicle
24/1/15,Collision with vehicle
24/1/15,Collision with vehicle
24/1/15,Collision with a fixed object
24/1/15,Collision with vehicle
24/1/15,Collision with a fixed object
24/1/15,Collision with a fixed object
24/1/15,Collision with vehicle
24/1/15,Collision with a fixed object
24/1/15,Collision with a fixed object
24/1/15,Collision with vehicle
24/1/15,Collision with vehicle
24/1/15,Collision with a fixed object
24/1/15,Collision with a fixed object
24/1/15,Collision with a fixed object
24/1/15,Collision with a fixed object
24/1/15,Collision with vehicle
24/1/15,Collision with vehicle
24/1/15,Collision with vehicle
24/1/15,Collision with some other object
25/1/15,Fall from or in moving vehicle
25/1/15,Collision with a fixed object
25/1/15,Collision with vehicle
25/1/15,Collision with vehicle
25/1/15,Collision with vehicle
25/1/15,Collision with vehicle
25/1/15,Collision with vehicle
25/1/15,Collision with vehicle
25/1/15,Collision with vehicle
25/1/15,Collision with vehicle
25/1/15,Collision with vehicle
25/1/15,Collision with vehicle
25/1/15,Collision with vehicle
25/1/15,Collision with vehicle
25/1/15,Collision with vehicle
25/1/15,Collision with vehicle
26/1/15,Collision with a fixed object
26/1/15,Collision with a fixed object
26/1/15,Collision with vehicle
26/1/15,Struck animal
26/1/15,Collision with vehicle
26/1/15,Struck Pedestrian
26/1/15,Collision with vehicle
26/1/15,Collision with vehicle
26/1/15,Collision with vehicle
26/1/15,Collision with a fixed object
26/1/15,Collision with vehicle
26/1/15,Struck Pedestrian
26/1/15,Collision with vehicle
26/1/15,Collision with a fixed object
26/1/15,Collision with a fixed object
26/1/15,Collision with vehicle
26/1/15,Collision with vehicle
26/1/15,Collision with vehicle
26/1/15,Collision with a fixed object
26/1/15,Collision with a fixed object
26/1/15,Collision with a fixed object
26/1/15,Collision with vehicle
26/1/15,Collision with vehicle
26/1/15,Collision with vehicle
27/1/15,Collision with vehicle
27/1/15,Collision with vehicle
27/1/15,Collision with vehicle
27/1/15,Collision with vehicle
27/1/15,Collision with vehicle
27/1/15,Collision with vehicle
27/1/15,Struck Pedestrian
27/1/15,Collision with a fixed object
27/1/15,Collision with vehicle
27/1/15,Struck Pedestrian
27/1/15,Collision with vehicle
27/1/15,Collision with vehicle
27/1/15,Collision with vehicle
27/1/15,Collision with a fixed object
27/1/15,Collision with a fixed object
27/1/15,Collision with vehicle
27/1/15,Collision with a fixed object
27/1/15,Collision with vehicle
27/1/15,Collision with vehicle
27/1/15,Collision with a fixed object
27/1/15,Collision with vehicle
27/1/15,Collision with vehicle
27/1/15,Collision with vehicle
27/1/15,Collision with vehicle
27/1/15,Struck Pedestrian
27/1/15,Collision with vehicle
27/1/15,Collision with a fixed object
27/1/15,Collision with vehicle
27/1/15,Collision with vehicle
28/1/15,Collision with a fixed object
28/1/15,Collision with vehicle
28/1/15,Collision with vehicle
28/1/15,Collision with vehicle
28/1/15,Collision with vehicle
28/1/15,Struck Pedestrian
28/1/15,Collision with vehicle
28/1/15,Collision with a fixed object
28/1/15,Collision with vehicle
28/1/15,Struck Pedestrian
28/1/15,Collision with vehicle
28/1/15,Collision with a fixed object
28/1/15,Struck animal
28/1/15,Struck Pedestrian
28/1/15,Collision with vehicle
28/1/15,Collision with vehicle
28/1/15,Struck Pedestrian
28/1/15,Collision with vehicle
28/1/15,Collision with a fixed object
28/1/15,Collision with a fixed object
28/1/15,Struck Pedestrian
28/1/15,Collision with vehicle
28/1/15,Collision with vehicle
28/1/15,Collision with a fixed object
28/1/15,Collision with vehicle
28/1/15,Collision with vehicle
28/1/15,Collision with vehicle
28/1/15,Collision with vehicle
28/1/15,Collision with vehicle
28/1/15,Collision with vehicle
28/1/15,Struck Pedestrian
28/1/15,Collision with vehicle
28/1/15,Struck Pedestrian
28/1/15,Collision with vehicle
28/1/15,Collision with vehicle
28/1/15,Collision with vehicle
28/1/15,Collision with vehicle
28/1/15,Collision with vehicle
29/1/15,Collision with vehicle
29/1/15,Collision with vehicle
29/1/15,Collision with vehicle
29/1/15,Struck Pedestrian
29/1/15,Struck Pedestrian
29/1/15,Collision with vehicle
29/1/15,Collision with vehicle
29/1/15,Collision with vehicle
29/1/15,Collision with vehicle
29/1/15,Struck Pedestrian
29/1/15,Collision with vehicle
29/1/15,Collision with a fixed object
29/1/15,Collision with vehicle
29/1/15,Collision with vehicle
29/1/15,Collision with vehicle
29/1/15,Collision with vehicle
29/1/15,Collision with vehicle
29/1/15,Collision with vehicle
29/1/15,Collision with a fixed object
29/1/15,Struck Pedestrian
29/1/15,Collision with vehicle
29/1/15,Collision with vehicle
29/1/15,Struck Pedestrian
29/1/15,Collision with a fixed object
29/1/15,Collision with vehicle
29/1/15,Collision with vehicle
29/1/15,Collision with vehicle
29/1/15,Fall from or in moving vehicle
29/1/15,Collision with a fixed object
29/1/15,Struck Pedestrian
29/1/15,Collision with vehicle
29/1/15,Collision with vehicle
29/1/15,Collision with vehicle
30/1/15,Struck Pedestrian
30/1/15,Collision with vehicle
30/1/15,Struck Pedestrian
30/1/15,Collision with vehicle
30/1/15,Collision with vehicle
30/1/15,Collision with vehicle
30/1/15,Collision with vehicle
30/1/15,Struck Pedestrian
30/1/15,Collision with vehicle
30/1/15,Collision with vehicle
30/1/15,Collision with vehicle
30/1/15,Collision with vehicle
30/1/15,Collision with vehicle
30/1/15,Collision with vehicle
30/1/15,Collision with vehicle
30/1/15,Struck Pedestrian
30/1/15,Collision with a fixed object
30/1/15,Collision with vehicle
30/1/15,Collision with vehicle
30/1/15,Collision with vehicle
30/1/15,Collision with vehicle
30/1/15,Collision with vehicle
30/1/15,Collision with vehicle
30/1/15,Struck animal
30/1/15,Collision with a fixed object
30/1/15,Collision with vehicle
31/1/15,Collision with vehicle
31/1/15,Collision with vehicle
31/1/15,Collision with vehicle
31/1/15,Struck Pedestrian
31/1/15,Collision with a fixed object
31/1/15,Collision with vehicle
31/1/15,Collision with vehicle
31/1/15,Collision with a fixed object
